First_name,Last_name,email,Address,Telephone,birth_date,University,major,student_status,year,Ticket_ID,Trouble_Category,Trouble_datelogged,Trouble_customerserviceemployee,Trouble_title,Trouble_description,Trouble_solution,Trouble_status,Trouble_administrator,Cart_created,Cart_updated,CART_book1,CART_book1_purchased_or_rented,CART_book1_quantity,Cart_book2,CART_book2_purchased_or_rented,CART_book2_quantity,ORDER_date_created,ORDER_date_completed,ORDER_book1,ORDER_book2,ORDER_book1_purchased_or_rented,ORDER_book1_quantity,ORDER_book2_purchased_or_rented,ORDER_book2_quantity,ORDER_credit_card,ORDER_creditcard_name,ORDER_creditcard_expiry,ORDER_creditcard_type,ORDER_status,ORDER_ship_type,Book_rating_name,Book_rating
Paul,González,PaulGonzález@gmail.com,"5524 Eighth Drive, Baltimore",4155992698,6/28/1982,UMBC,History,Grad,1,,,,,,,,,,,,,,,,,,10/25/2014,10/26/2014,linear algebra,,rent,1,,,4.485E+15,card,3/1/2016,VISA,shipped,1-day,,
Paul,González,PaulGonzález@gmail.com,"5524 Eighth Drive, Baltimore",4155992699,6/28/1982,UMBC,History,Grad,1,T104,orders,10/5/2014,Julian,order not recieved,i have still not recieved my order. it has been 10 days,,new,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin,López,KevinLópez@gmail.com,"5233 Elm Drive, Baltimore",4155992700,9/2/1981,UMBC,Sociology,Grad,2,T103,cart,2/4/2014,Julian,cart not updating,cant delete stuff from the cart,,new,,,,,,,,,,,,,,,,,,,,,,,,,
Nancy,Martínez,NancyMartínez@gmail.com,"6170 Pine Drive, Baltimore",4155992702,12/11/1984,UMBC,History,Grad,4,T103,cart,2/5/2014,Julian,cart not updating,cant delete stuff from the cart,,assigned,Stephanie,,,,,,,,,,,,,,,,,,,,,,,,
Laura,García,LauraGarcía@gmail.com,"6103 Maple Drive, Baltimore",4155992703,2/16/1984,UMBC,History,Grad,2,,,,,,,,,,1/1/2014,3/5/2014,linear algebra,rent,1,Applied Econometrics,buy,2,,,,,,,,,,,,,,,,
Patricia,Gagné,PatriciaGagné@gmail.com,"6377 Seventh Drive, Baltimore",4155992704,10/6/1985,UMBC,History,Grad,3,,,,,,,,,,11/5/2014,11/5/2014,"Fearless Editing: Crafting Words and Images for Print, Web, and Public Relations",rent,1,linear algebra,rent,1,,,,,,,,,,,,,,,,
Karen,Pérez,KarenPérez@gmail.com,"4974 Washington Drive, Baltimore",4155992705,1/13/1980,UMCP,Sociology,Grad,5,,,,,,,,,,2/1/2014,1/2/2014,Christianity 101: A Textbook of Catholic Theology,buy,2,Pearson Textbook Reader: Reading in Applied and Academic Fields,rent,2,,,,,,,,,,,,,,,,
Linda,Rodríguez,LindaRodríguez@gmail.com,"5202 View Drive, Baltimore",4155992706,11/7/1980,UMBC,Sociology,Grad,3,,,,,,,,,,1/1/2014,3/5/2014,linear algebra,rent,1,,,,,,,,,,,,,,,,,,,
Robert,Hernandez,RobertHernandez@gmail.com,"5644 Cedar Drive, Baltimore",4155992707,4/23/1983,UMBC,History,Grad,3,T106,userprofile,8/5/2014,Julian,password lost,,,new,,,,,,,,,,,,,,,,,,,,,,,,,
Robert,Hernandez,RobertHernandez@gmail.com,"5644 Cedar Drive, Baltimore",4155992708,4/23/1983,UMBC,History,Grad,3,T106,userprofile,8/6/2014,Julian,password lost,,,assigned,Stephanie,,,,,,,,,,,,,,,,,,,,,,,,
Robert,Hernandez,RobertHernandez@gmail.com,"5644 Cedar Drive, Baltimore",4155992709,4/23/1983,UMBC,History,Grad,3,T106,userprofile,8/7/2014,Julian,password lost,,,in-process,Stephanie,,,,,,,,,,,,,,,,,,,,,,,,
Robert,Hernandez,RobertHernandez@gmail.com,"5644 Cedar Drive, Baltimore",4155992701,4/23/1983,UMBC,History,Grad,3,T106,userprofile,8/9/2014,Julian,password lost,pasword was reset,new password issued,completed,Stephanie,,,,,,,,,,,,,,,,,,,,,,,,
Nancy,Martínez,NancyMartínez@gmail.com,"6170 Pine Drive, Baltimore",1,12/11/1984,UMBC,History,Grad,4,T103,cart,2/6/2014,Julian,cart not updating,cant delete stuff from the cart,,in-process,Stephanie,,,,,,,,,,,,,,,,,,,,,,,,
John,Morin,JohnMorin@gmail.com,"7644 Main Drive, Baltimore",2,3/21/1988,Towson,English,UnderGrad,1,T121,userprofile,10/25/2014,Joan,forgotten password,password needs to be reset after verification,,assigned,Peter,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,T100,orders,10/24/2014,Dan,bug in orders,1 order got cancelled automatically,,new,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,T100,orders,10/24/2014,Dan,bug in orders,1 order got cancelled automatically,,assigned,Anthony,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,T130,cart,12/1/2014,Kevin,proposed maintance work,yearly update scheduled,,new,,,,,,,,,,,,,,,,,,,,,,,,,
